protocol,arm,model,seed,mAP,path
biwi_w,random_matched,isr_transformer_randommatch,42,20.3967,biwi_w/isr_transformer_randommatch/seed42/result.json
biwi_w,random_matched,isrgru_randommatch,123,24.0393,biwi_w/isrgru_randommatch/seed123/result.json
biwi_w,random_matched,isr_transformer_randommatch,123,21.1815,biwi_w/isr_transformer_randommatch/seed123/result.json
biwi_w,random_matched,isrgru_randommatch,2026,22.4744,biwi_w/isrgru_randommatch/seed2026/result.json
biwi_w,random_matched,isr_transformer_randommatch,2026,22.0353,biwi_w/isr_transformer_randommatch/seed2026/result.json
biwi_w,random_matched,isrgru_randommatch,2027,23.4594,biwi_w/isrgru_randommatch/seed2027/result.json
biwi_w,random_matched,isr_transformer_randommatch,2027,21.5872,biwi_w/isr_transformer_randommatch/seed2027/result.json
biwi_w,random_matched,isrgru_randommatch,2028,23.9213,biwi_w/isrgru_randommatch/seed2028/result.json
biwi_w,random_matched,isr_transformer_randommatch,2028,20.7940,biwi_w/isr_transformer_randommatch/seed2028/result.json
ias_a,baseline,gru,42,23.1070,transg_official_ias_confirm_20260808/ias_a/gru/seed42/result.json
ias_a,baseline,transformer,42,27.3920,isr_transfer_pilot_20260805/ias_a_transformer_42/result.json
ias_a,baseline,gru,123,24.1655,transg_official_ias_confirm_20260808/ias_a/gru/seed123/result.json
ias_a,baseline,transformer,123,29.7117,isr_transfer_pilot_20260805/ias_a_transformer_123/result.json
ias_a,baseline,gru,2026,23.5315,transg_official_ias_confirm_20260808/ias_a/gru/seed2026/result.json
ias_a,baseline,transformer,2026,27.3572,isr_transfer_pilot_20260805/ias_a_transformer_2026/result.json
ias_a,baseline,gru,2027,23.7998,ias_a/gru/seed2027/result.json
ias_a,baseline,transformer,2027,29.3684,ias_a/transformer/seed2027/result.json
ias_a,baseline,gru,2028,23.9722,ias_a/gru/seed2028/result.json
ias_a,baseline,transformer,2028,29.1504,ias_a/transformer/seed2028/result.json
ias_a,absolute,isrgru,42,23.9420,isrgru_pos_fix_20260808/ias_a/isrgru/seed42/result.json
ias_a,absolute,isr_transformer,42,28.7000,isr_transfer_pilot_20260805/ias_a_isr_transformer_42/result.json
ias_a,absolute,isrgru,123,23.7784,isrgru_pos_fix_20260808/ias_a/isrgru/seed123/result.json
ias_a,absolute,isr_transformer,123,28.8627,isr_transfer_pilot_20260805/ias_a_isr_transformer_123/result.json
ias_a,absolute,isrgru,2026,23.7399,isrgru_pos_fix_20260808/ias_a/isrgru/seed2026/result.json
ias_a,absolute,isr_transformer,2026,28.1775,isr_transfer_pilot_20260805/ias_a_isr_transformer_2026/result.json
ias_a,absolute,isrgru,2027,24.0620,ias_a/isrgru/seed2027/result.json
ias_a,absolute,isr_transformer,2027,28.9166,ias_a/isr_transformer/seed2027/result.json
ias_a,absolute,isrgru,2028,24.4998,ias_a/isrgru/seed2028/result.json
ias_a,absolute,isr_transformer,2028,29.7945,ias_a/isr_transformer/seed2028/result.json
ias_a,normalized,isrgru_norm,42,23.8659,ias_a/isrgru_norm/seed42/result.json
ias_a,normalized,isr_transformer_norm,42,27.9285,ias_a/isr_transformer_norm/seed42/result.json
ias_a,normalized,isrgru_norm,123,23.3600,ias_a/isrgru_norm/seed123/result.json
ias_a,normalized,isr_transformer_norm,123,28.6088,ias_a/isr_transformer_norm/seed123/result.json
ias_a,normalized,isrgru_norm,2026,23.6150,ias_a/isrgru_norm/seed2026/result.json
ias_a,normalized,isr_transformer_norm,2026,27.7712,ias_a/isr_transformer_norm/seed2026/result.json
ias_a,normalized,isrgru_norm,2027,23.5988,ias_a/isrgru_norm/seed2027/result.json
ias_a,normalized,isr_transformer_norm,2027,29.0217,ias_a/isr_transformer_norm/seed2027/result.json
ias_a,normalized,isrgru_norm,2028,24.4522,ias_a/isrgru_norm/seed2028/result.json
ias_a,normalized,isr_transformer_norm,2028,29.9222,ias_a/isr_transformer_norm/seed2028/result.json
ias_a,norm_matched,isrgru_normmatch,42,23.7796,ias_a/isrgru_normmatch/seed42/result.json
ias_a,norm_matched,isr_transformer_normmatch,42,28.8257,ias_a/isr_transformer_normmatch/seed42/result.json
ias_a,norm_matched,isrgru_normmatch,123,24.0879,ias_a/isrgru_normmatch/seed123/result.json
ias_a,norm_matched,isr_transformer_normmatch,123,28.6492,ias_a/isr_transformer_normmatch/seed123/result.json
ias_a,norm_matched,isrgru_normmatch,2026,23.8938,ias_a/isrgru_normmatch/seed2026/result.json
ias_a,norm_matched,isr_transformer_normmatch,2026,29.2997,ias_a/isr_transformer_normmatch/seed2026/result.json
ias_a,norm_matched,isrgru_normmatch,2027,23.6098,ias_a/isrgru_normmatch/seed2027/result.json
ias_a,norm_matched,isr_transformer_normmatch,2027,27.9501,ias_a/isr_transformer_normmatch/seed2027/result.json
ias_a,norm_matched,isrgru_normmatch,2028,24.5661,ias_a/isrgru_normmatch/seed2028/result.json
ias_a,norm_matched,isr_transformer_normmatch,2028,29.7376,ias_a/isr_transformer_normmatch/seed2028/result.json
ias_a,random_matched,isrgru_randommatch,42,23.6884,ias_a/isrgru_randommatch/seed42/result.json
ias_a,random_matched,isr_transformer_randommatch,42,28.3963,ias_a/isr_transformer_randommatch/seed42/result.json
ias_a,random_matched,isrgru_randommatch,123,23.2320,ias_a/isrgru_randommatch/seed123/result.json
ias_a,random_matched,isr_transformer_randommatch,123,28.3111,ias_a/isr_transformer_randommatch/seed123/result.json
ias_a,random_matched,isrgru_randommatch,2026,23.4731,ias_a/isrgru_randommatch/seed2026/result.json
ias_a,random_matched,isr_transformer_randommatch,2026,27.3688,ias_a/isr_transformer_randommatch/seed2026/result.json
ias_a,random_matched,isrgru_randommatch,2027,23.6495,ias_a/isrgru_randommatch/seed2027/result.json
ias_a,random_matched,isr_transformer_randommatch,2027,28.7503,ias_a/isr_transformer_randommatch/seed2027/result.json
ias_a,random_matched,isrgru_randommatch,2028,24.3146,ias_a/isrgru_randommatch/seed2028/result.json
ias_a,random_matched,isr_transformer_randommatch,2028,29.6271,ias_a/isr_transformer_randommatch/seed2028/result.json
ias_b,baseline,gru,42,22.3858,transg_official_ias_confirm_20260808/ias_b/gru/seed42/result.json
