protocol,backbone,seed,mAP_base_pp,mAP_abs_pp,mAP_norm_pp,mAP_normmatch_pp,mAP_random_pp,d_abs_pp,d_norm_pp,d_normmatch_pp,d_random_pp,d_abs_vs_normmatch_pp,d_abs_vs_random_pp,normmatch_factor,normmatch_gate,random_gate,normmatch_rtype,random_rtype,normmatch_config_sha,random_config_sha,base_path,abs_path,norm_path,normmatch_path,random_path
ias_b,transformer,42,27.0176,27.6348,27.2703,27.5556,27.6249,0.6171,0.2527,0.538,0.6073,0.0791,0.0098,0.2536046802997589,0.1865004301071167,0.14538772404193878,norm_matched,random_matched,e27e76b9b8f940709438bc0c79623201c039349775b400e99a920b8e19cb3c3e,e27e76b9b8f940709438bc0c79623201c039349775b400e99a920b8e19cb3c3e,isr_transfer_pilot_20260805/ias_b_transformer_42/result.json,isr_transfer_pilot_20260805/ias_b_isr_transformer_42/result.json,frame_norm_residual_20260812/results/ias_b/isr_transformer_norm/seed42/result.json,frame_scale_controls_20260813/results/ias_b/isr_transformer_normmatch/seed42/result.json,frame_scale_controls_20260813/results/ias_b/isr_transformer_randommatch/seed42/result.json
ias_b,transformer,123,27.994,27.3892,27.0485,27.2519,27.0321,-0.6047,-0.9454,-0.7421,-0.9619,0.1374,0.3572,0.2536046802997589,0.19577832520008087,0.14346744120121002,norm_matched,random_matched,e27e76b9b8f940709438bc0c79623201c039349775b400e99a920b8e19cb3c3e,e27e76b9b8f940709438bc0c79623201c039349775b400e99a920b8e19cb3c3e,isr_transfer_pilot_20260805/ias_b_transformer_123/result.json,isr_transfer_pilot_20260805/ias_b_isr_transformer_123/result.json,frame_norm_residual_20260812/results/ias_b/isr_transformer_norm/seed123/result.json,frame_scale_controls_20260813/results/ias_b/isr_transformer_normmatch/seed123/result.json,frame_scale_controls_20260813/results/ias_b/isr_transformer_randommatch/seed123/result.json
ias_b,transformer,2026,26.7558,27.238,26.639,27.5467,26.3869,0.4822,-0.1168,0.7909,-0.3689,-0.3086,0.8512,0.2536046802997589,0.19072453677654266,0.14322277903556824,norm_matched,random_matched,e27e76b9b8f940709438bc0c79623201c039349775b400e99a920b8e19cb3c3e,e27e76b9b8f940709438bc0c79623201c039349775b400e99a920b8e19cb3c3e,isr_transfer_pilot_20260805/ias_b_transformer_2026/result.json,isr_transfer_pilot_20260805/ias_b_isr_transformer_2026/result.json,frame_norm_residual_20260812/results/ias_b/isr_transformer_norm/seed2026/result.json,frame_scale_controls_20260813/results/ias_b/isr_transformer_normmatch/seed2026/result.json,frame_scale_controls_20260813/results/ias_b/isr_transformer_randommatch/seed2026/result.json
kgbd,gru,42,16.2623,17.1147,16.3161,16.575,16.1578,0.8524,0.0538,0.3128,-0.1045,0.5397,0.957,0.2111819088459015,0.20130090415477753,0.13036304712295532,norm_matched,random_matched,373aa182ad2ddc988567509c4b2eb549035a552d887dfef4ed892c2e3a0887a0,373aa182ad2ddc988567509c4b2eb549035a552d887dfef4ed892c2e3a0887a0,transg_official_kgbd_confirm_20260808/gru/seed42/result.json,isrgru_pos_fix_20260808/kgbd/isrgru/seed42/result.json,frame_norm_residual_20260812/results/kgbd/isrgru_norm/seed42/result.json,frame_scale_controls_20260813/results/kgbd/isrgru_normmatch/seed42/result.json,frame_scale_controls_20260813/results/kgbd/isrgru_randommatch/seed42/result.json
kgbd,gru,123,16.3268,17.1651,16.2977,16.2489,16.056,0.8383,-0.0291,-0.0779,-0.2708,0.9162,1.1091,0.2111819088459015,0.2143777459859848,0.13047856092453003,norm_matched,random_matched,373aa182ad2ddc988567509c4b2eb549035a552d887dfef4ed892c2e3a0887a0,373aa182ad2ddc988567509c4b2eb549035a552d887dfef4ed892c2e3a0887a0,transg_official_kgbd_confirm_20260808/gru/seed123/result.json,isrgru_pos_fix_20260808/kgbd/isrgru/seed123/result.json,frame_norm_residual_20260812/results/kgbd/isrgru_norm/seed123/result.json,frame_scale_controls_20260813/results/kgbd/isrgru_normmatch/seed123/result.json,frame_scale_controls_20260813/results/kgbd/isrgru_randommatch/seed123/result.json
kgbd,gru,2026,16.4788,16.7753,15.9734,15.9361,15.764,0.2965,-0.5054,-0.5427,-0.7148,0.8391,1.0112,0.2111819088459015,0.2182411551475525,0.1334625482559204,norm_matched,random_matched,373aa182ad2ddc988567509c4b2eb549035a552d887dfef4ed892c2e3a0887a0,373aa182ad2ddc988567509c4b2eb549035a552d887dfef4ed892c2e3a0887a0,transg_official_kgbd_confirm_20260808/gru/seed2026/result.json,isrgru_pos_fix_20260808/kgbd/isrgru/seed2026/result.json,frame_norm_residual_20260812/results/kgbd/isrgru_norm/seed2026/result.json,frame_scale_controls_20260813/results/kgbd/isrgru_normmatch/seed2026/result.json,frame_scale_controls_20260813/results/kgbd/isrgru_randommatch/seed2026/result.json
kgbd,transformer,42,23.1317,24.6321,23.3695,23.1911,23.3349,1.5004,0.2377,0.0594,0.2032,1.441,1.2972,0.2111819088459015,0.19074343144893646,0.12029112130403519,norm_matched,random_matched,373aa182ad2ddc988567509c4b2eb549035a552d887dfef4ed892c2e3a0887a0,373aa182ad2ddc988567509c4b2eb549035a552d887dfef4ed892c2e3a0887a0,isr_transfer_pilot_20260805/transformer_42/result.json,isr_transfer_pilot_20260805/isr_transformer_42/result.json,frame_norm_residual_20260812/results/kgbd/isr_transformer_norm/seed42/result.json,frame_scale_controls_20260813/results/kgbd/isr_transformer_normmatch/seed42/result.json,frame_scale_controls_20260813/results/kgbd/isr_transformer_randommatch/seed42/result.json
kgbd,transformer,123,23.2588,24.1479,23.3704,22.9201,23.2984,0.8891,0.1116,-0.3387,0.0395,1.2278,0.8496,0.2111819088459015,0.202983096241951,0.12334368377923965,norm_matched,random_matched,373aa182ad2ddc988567509c4b2eb549035a552d887dfef4ed892c2e3a0887a0,373aa182ad2ddc988567509c4b2eb549035a552d887dfef4ed892c2e3a0887a0,isr_transfer_pilot_20260805/transformer_123/result.json,isr_transfer_pilot_20260805/isr_transformer_123/result.json,frame_norm_residual_20260812/results/kgbd/isr_transformer_norm/seed123/result.json,frame_scale_controls_20260813/results/kgbd/isr_transformer_normmatch/seed123/result.json,frame_scale_controls_20260813/results/kgbd/isr_transformer_randommatch/seed123/result.json
kgbd,transformer,2026,23.335,24.0599,23.3355,22.7291,23.331,0.7249,0.0005,-0.606,-0.004,1.3309,0.7289,0.2111819088459015,0.19797486066818237,0.11852440983057022,norm_matched,random_matched,373aa182ad2ddc988567509c4b2eb549035a552d887dfef4ed892c2e3a0887a0,373aa182ad2ddc988567509c4b2eb549035a552d887dfef4ed892c2e3a0887a0,isr_transfer_pilot_20260805/transformer_2026/result.json,isr_transfer_pilot_20260805/isr_transformer_2026/result.json,frame_norm_residual_20260812/results/kgbd/isr_transformer_norm/seed2026/result.json,frame_scale_controls_20260813/results/kgbd/isr_transformer_normmatch/seed2026/result.json,frame_scale_controls_20260813/results/kgbd/isr_transformer_randommatch/seed2026/result.json
kgbd_dedup,gru,42,16.1786,16.996,16.2181,16.4794,16.0756,0.8174,0.0394,0.3008,-0.103,0.5167,0.9204,0.2112089842557907,0.20099474489688873,0.1299062967300415,norm_matched,random_matched,32fbc0c0a33903381b3f0df63155ef260985f95d013f8e9cd2000878f659db70,32fbc0c0a33903381b3f0df63155ef260985f95d013f8e9cd2000878f659db70,kgbd_dedup_20260806/confirm_train_removal/gru_42/result.json,isrgru_pos_fix_20260808/kgbd_dedup/isrgru/seed42/result.json,frame_norm_residual_20260812/results/kgbd_dedup/isrgru_norm/seed42/result.json,frame_scale_controls_20260813/results/kgbd_dedup/isrgru_normmatch/seed42/result.json,frame_scale_controls_20260813/results/kgbd_dedup/isrgru_randommatch/seed42/result.json
